iso3,country_name,wb_income_group
GUM,Guam,High income
GUY,Guyana,High income
HKG,"Hong Kong SAR, China",High income
HND,Honduras,Lower middle income
HPC,Heavily indebted poor countries (HIPC),Aggregates
HRV,Croatia,High income
HTI,Haiti,Lower middle income
HUN,Hungary,High income
IBD,IBRD only,Aggregates
IBT,IDA & IBRD total,Aggregates
IDA,IDA total,Aggregates
IDB,IDA blend,Aggregates
IDN,Indonesia,Upper middle income
IDX,IDA only,Aggregates
IMN,Isle of Man,High income
IND,India,Lower middle income
IRL,Ireland,High income
IRN,"Iran, Islamic Rep.",Upper middle income
IRQ,Iraq,Upper middle income
ISL,Iceland,High income
ISR,Israel,High income
ITA,Italy,High income
JAM,Jamaica,Upper middle income
JOR,Jordan,Lower middle income
JPN,Japan,High income
KAZ,Kazakhstan,Upper middle income
KEN,Kenya,Lower middle income
KGZ,Kyrgyz Republic,Lower middle income
KHM,Cambodia,Lower middle income
KIR,Kiribati,Lower middle income
KNA,St. Kitts and Nevis,High income
KOR,"Korea, Rep.",High income
KWT,Kuwait,High income
LAC,Latin America & Caribbean (excluding high income),Aggregates
LAO,Lao PDR,Lower middle income
LBN,Lebanon,Lower middle income
LBR,Liberia,Low income
LBY,Libya,Upper middle income
LCA,St. Lucia,Upper middle income
LCN,Latin America & Caribbean,Aggregates
LDC,Least developed countries: UN classification,Aggregates
LIE,Liechtenstein,High income
LKA,Sri Lanka,Lower middle income
LMY,Low & middle income,Aggregates
LSO,Lesotho,Lower middle income
LTE,Late-demographic dividend,Aggregates
LTU,Lithuania,High income
LUX,Luxembourg,High income
LVA,Latvia,High income
MAC,"Macao SAR, China",High income
MAF,St. Martin (French part),High income
MAR,Morocco,Lower middle income
MCO,Monaco,High income
MDA,Moldova,Upper middle income
MDG,Madagascar,Low income
MDV,Maldives,Upper middle income
MEA,"Middle East, North Africa, Afghanistan & Pakistan",Aggregates
MEX,Mexico,Upper middle income
MHL,Marshall Islands,Upper middle income
MIC,Middle income,Aggregates
MKD,North Macedonia,Upper middle income
MLI,Mali,Low income
MLT,Malta,High income
MMR,Myanmar,Lower middle income
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Aggregates
MNE,Montenegro,Upper middle income
MNG,Mongolia,Upper middle income
MNP,Northern Mariana Islands,High income
MOZ,Mozambique,Low income
MRT,Mauritania,Lower middle income
MUS,Mauritius,Upper middle income
MWI,Malawi,Low income
MYS,Malaysia,Upper middle income
NAC,North America,Aggregates
NAM,Namibia,Lower middle income
NCL,New Caledonia,High income
NER,Niger,Low income
NGA,Nigeria,Lower middle income
NIC,Nicaragua,Lower middle income
NLD,Netherlands,High income
NOR,Norway,High income
NPL,Nepal,Lower middle income
NRU,Nauru,High income
NZL,New Zealand,High income
OED,OECD members,Aggregates
OMN,Oman,High income
OSS,Other small states,Aggregates
PAK,Pakistan,Lower middle income
PAN,Panama,High income
PER,Peru,Upper middle income
PHL,Philippines,Lower middle income
PLW,Palau,High income
PNG,Papua New Guinea,Lower middle income
POL,Poland,High income
PRE,Pre-demographic dividend,Aggregates
PRI,Puerto Rico (US),High income
PRT,Portugal,High income
PRY,Paraguay,Upper middle income
PSE,West Bank and Gaza,Lower middle income
PSS,Pacific island small states,Aggregates
PST,Post-demographic dividend,Aggregates
PYF,French Polynesia,High income
QAT,Qatar,High income
ROU,Romania,High income
RUS,Russian Federation,High income
RWA,Rwanda,Low income
SAS,South Asia,Aggregates
SAU,Saudi Arabia,High income
SDN,Sudan,Low income
SEN,Senegal,Lower middle income
SGP,Singapore,High income
SLB,Solomon Islands,Lower middle income
SLE,Sierra Leone,Low income
SLV,El Salvador,Upper middle income
SMR,San Marino,High income
SOM,"Somalia, Fed. Rep.",Low income
SRB,Serbia,Upper middle income
SSA,Sub-Saharan Africa (excluding high income),Aggregates
SSD,South Sudan,Low income
SSF,Sub-Saharan Africa,Aggregates
SST,Small states,Aggregates
STP,Sao Tome and Principe,Lower middle income
SUR,Suriname,Upper middle income
SVK,Slovak Republic,High income
SVN,Slovenia,High income
SWE,Sweden,High income
SWZ,Eswatini,Lower middle income
SXM,Sint Maarten (Dutch part),High income
SYC,Seychelles,High income
SYR,Syrian Arab Republic,Low income
TCA,Turks and Caicos Islands,High income
TCD,Chad,Low income
TEA,East Asia & Pacific (IDA & IBRD countries),Aggregates
TEC,Europe & Central Asia (IDA & IBRD countries),Aggregates
TGO,Togo,Low income
THA,Thailand,Upper middle income
TJK,Tajikistan,Lower middle income
TKM,Turkmenistan,Upper middle income
TLA,Latin America & the Caribbean (IDA & IBRD countries),Aggregates
TLS,Timor-Leste,Lower middle income
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",Aggregates
TON,Tonga,Upper middle income
TSA,South Asia (IDA & IBRD),Aggregates
TSS,Sub-Saharan Africa (IDA & IBRD countries),Aggregates
TTO,Trinidad and Tobago,High income
TUN,Tunisia,Lower middle income
TUR,Turkiye,Upper middle income
TUV,Tuvalu,Upper middle income
TZA,Tanzania,Lower middle income
UGA,Uganda,Low income
UKR,Ukraine,Upper middle income
URY,Uruguay,High income
USA,United States,High income
UZB,Uzbekistan,Lower middle income
VCT,St. Vincent and the Grenadines,Upper middle income
VEN,"Venezuela, RB",Not classified
VIR,Virgin Islands (U.S.),High income
VNM,Viet Nam,Lower middle income
VUT,Vanuatu,Lower middle income
WLD,World,Aggregates
WSM,Samoa,Upper middle income
XD,High income,
XKX,Kosovo,Upper middle income
XM,Low income,
XN,Lower middle income,
XT,Upper middle income,
YEM,"Yemen, Rep.",Low income
ZAF,South Africa,Upper middle income
ZMB,Zambia,Lower middle income
ZWE,Zimbabwe,Lower middle income
